point,path,cost,count,checking_edges,waypoints_of_llm,waypoints_using_llm
"(6800598, 6800150)","[6800598, 6800597, 6801108, 6800599, 6800600, 6800601, 6800602, 6800603, 6801808, 6800604, 6800590, 6800032, 6800033, 6801232, 6800034, 6800035, 6800036, 6800037, 6800038, 6800008, 6800040, 6800041, 6800149, 6801848, 6800165, 6800216, 6800150]",29,1023,967,,
"(6800445, 6800831)","[6800445, 6801269, 6800444, 6800443, 6800442, 6801203, 6800441, 6801204, 6800212, 6800213, 6800214, 6800636, 6800216, 6800165, 6800006, 6805261, 6801864, 6801866, 6801817, 6800016, 6801874, 6801165, 6801071, 6801070, 6805808, 6801167, 6805532, 6806345, 6801288, 6800742, 6801044, 6801850, 6800836, 6800835, 6800834, 6800833, 6800832, 6800831]",77,2895,2776,,
"(6805807, 6800852)","[6805807, 6801071, 6801070, 6801069, 6801068, 6801062, 6801057, 6801289, 6801051, 6800763, 6801294, 6800765, 6800766, 6800767, 6800768, 6800769, 6800770, 6801216, 6800798, 6800837, 6800838, 6800839, 6805535, 6800840, 6800841, 6801426, 6800842, 6800849, 6800850, 6800851, 6800852]",60,2854,2741,,
"(6800234, 6800303)","[6800234, 6800235, 6800236, 6800237, 6801802, 6800238, 6800239, 6805638, 6805637, 6800261, 6802331, 6800248, 6802332, 6801259, 6800250, 6800251, 6800252, 6800253, 6800254, 6800255, 6801011, 6800636, 6800216, 6800150, 6800151, 6800152, 6800305, 6800304, 6800303]",58,860,823,,
"(6800851, 6800994)","[6800851, 6800850, 6800849, 6800842, 6801426, 6800841, 6800840, 6805535, 6800839, 6800838, 6800837, 6800798, 6801216, 6800770, 6800769, 6800768, 6800767, 6800766, 6800765, 6801294, 6800763, 6801051, 6801289, 6801057, 6801062, 6802408, 6802406, 6802404, 6805684, 6805520, 6805518, 6801910, 6802324, 6801211, 6801260, 6805486, 6800126, 6800125, 6802320, 6800695, 6800696, 6800697, 6801264, 6801261, 6801075, 6802321, 6800714, 6801266, 6800700, 6800701, 6800999, 6805648, 6800996, 6805630, 6800995, 6800994]",97,2449,2343,,
"(6800612, 6800405)","[6800612, 6800611, 6800610, 6805531, 6800516, 6801017, 6801016, 6801015, 6801051, 6801289, 6801057, 6801056, 6801055, 6800055, 6805621, 6801909, 6806332, 6806333, 6802350, 6802399, 6801860, 6801862, 6805260, 6800040, 6801257, 6802339, 6800291, 6800290, 6800289, 6800288, 6800287, 6800286, 6800907, 6800260, 6802330, 6800261, 6805637, 6805638, 6800239, 6801803, 6805636, 6800240, 6805632, 6800489, 6801278, 6800491, 6800492, 6800497, 6800498, 6801840, 6800499, 6800500, 6801276, 6800501, 6800502, 6800503, 6800504, 6800505, 6800477, 6800478, 6800417, 6800515, 6800514, 6800513, 6800512, 6800511, 6800401, 6805644, 6800402, 6800403, 6800404, 6800405]",106,3130,3001,,
"(6801060, 6800162)","[6801060, 6801061, 6801062, 6801068, 6801069, 6801070, 6801071, 6801165, 6801874, 6800016, 6801817, 6801866, 6801864, 6805261, 6800006, 6800165, 6801799, 6801139, 6801849, 6801208, 6800162]",52,1786,1695,,
"(6802332, 6802300)","[6802332, 6800248, 6802331, 6800261, 6802330, 6800260, 6800907, 6800286, 6800287, 6800288, 6800289, 6800290, 6800291, 6802339, 6801257, 6800040, 6800008, 6800038, 6800037, 6800036, 6800035, 6800034, 6801232, 6800033, 6800032, 6800590, 6800604, 6801808, 6800603, 6800602, 6800601, 6800600, 6800599, 6801108, 6800597, 6806348, 6802300]",37,1684,1609,,
"(6800727, 6800827)","[6800727, 6800726, 6800725, 6802327, 6806269, 6800065, 6801286, 6801114, 6801096, 6800741, 6801289, 6801051, 6801015, 6801851, 6800822, 6800823, 6800824, 6800825, 6800826, 6800827]",86,2651,2530,,
"(6800044, 6806335)","[6800044, 6800045, 6801304, 6801485, 6800075, 6800105, 6800103, 6800327, 6800101, 6802317, 6800100, 6801239, 6800099, 6800098, 6800097, 6806240, 6800096, 6800325, 6802393, 6802391, 6802389, 6806335]",42,2359,2245,,
